id,title,actors,countries,topics,url,event_id,track,format,date,year
"enb12286e_14","RESEARCH AND SYSTEMATIC OBSERVATION","","","","http://www.iisd.ca/vol12/enb12286e.html","054","","","1.1337372e+12","2005"
"enb12431e_4","MITIGATION (1(b)(vi) of the BAP)","Group of 77","India|Canada|Tanzania|China|Saudi Arabia|South Africa|Argentina","","http://www.iisd.ca/vol12/enb12431e.html","081","","","1.254348e+12","2009"
"enb12158e_13","ACTIVITIES IMPLEMENTED JOINTLY","","","","http://www.iisd.ca/vol12/enb12158e.html","029","","","9.746748e+11","2000"
"enb12177e_29","Decision 7:","","","","http://www.iisd.ca/vol12/enb12177e.html","033","","","1.0019736e+12","2001"
"1240000e_2","SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE","Group of 77","Bahrain|Tanzania|Hungary|China","","http://www.iisd.ca/vol12/1240000e.html","011","SBSTA","","8.570844e+11","1997"
"enb12270e_41","SBI Conclusions and Draft COP Decision","","","","http://www.iisd.ca/vol12/enb12270e.html","050","","","1.117404e+12","2005"
"enb12202e_12","Compilation and synthesis","","","","http://www.iisd.ca/vol12/enb12202e.html","038","","","1.0354104e+12","2002"
"enb12212e_14","SINKS IN THE CDM","","","","http://www.iisd.ca/vol12/enb12212e.html","040","","","1.054764e+12","2003"
"enb1255e_6","NON-GROUP ON INSTITUTIONS AND MECHANISMS","","Japan","","http://www.iisd.ca/vol12/enb1255e.html","014","","GROUPS","8.709048e+11","1997"
"enb12224e_8","TECHNOLOGY TRANSFER","Group of 77|European Union","Japan|Canada|United Kingdom|China|United States","","http://www.iisd.ca/vol12/enb12224e.html","042","","","1.0704924e+12","2003"
"enb12454e_28","Report of the GEF","","","","http://www.iisd.ca/vol12/enb12454e.html","085","","","1.2607452e+12","2009"
"enb12421e_44","SBSTA Conclusions","","","","http://www.iisd.ca/vol12/enb12421e.html","079","","","1.2447576e+12","2009"
"enb12395e_91","DELIVERING ON TECHNOLOGY AND FINANCING:","Group of 77|European Union|Alliance of Small Island States","New Zealand|India|Chad|Argentina|United States|Japan|Australia|Iceland|Canada|South Africa|Bahamas|Switzerland|China|Barbados","Adaptation","http://www.iisd.ca/vol12/enb12395e.html","074","","","1.2290364e+12","2008"
"enb12209e_6","Guidelines under Protocol Articles 5, 7 and 8","Group of 77|European Union","Saudi Arabia|South Africa|United States|China|New Zealand","Compliance and Enforcement","http://www.iisd.ca/vol12/enb12209e.html","038","","","1.0363644e+12","2002"
"enb12282e_27","IN THE CORRIDORS","","","","http://www.iisd.ca/vol12/enb12282e.html","054","","corridors","1.1333052e+12","2005"
"enb12419e_25","Budget performance for the biennium 2008-2009","","","","http://www.iisd.ca/vol12/enb12419e.html","079","","","1.2446712e+12","2009"
"enb12373e_2","FLEXIBLE MECHANISMS (AWG-KP):","Group of 77|European Union","Brazil|Tuvalu|China","Flexibility Mechanims","http://www.iisd.ca/vol12/enb12373e.html","070","","","1.2132216e+12","2008"
"enb12231e_82","Statements by NGOs","Alliance of Small Island States","Russian Federation|Indigenous Peoples|Russia","","http://www.iisd.ca/vol12/enb12231e.html","042","","","1.0714428e+12","2003"
"enb12312e_9","ADMINISTRATIVE, FINANCIAL AND INSTITUTIONAL MATTERS:","","","","http://www.iisd.ca/vol12/enb12312e.html","057","","","1.1631996e+12","2006"
"enb12111e_3","COMPLIANCE SYSTEMS UNDER INTERNATIONAL TREATIES","","","","http://www.iisd.ca/vol12/enb12111e.html","021","","","9.3942e+11","1999"
"enb12287e_4","CAPACITY BUILDING","","","","http://www.iisd.ca/vol12/enb12287e.html","054","","","1.1338236e+12","2005"
"enb12260e_73","PREPARATIONS FOR COP/MOP-1","European Union","Russian Federation|Russia","","http://www.iisd.ca/vol12/enb12260e.html","048","","","1.1033244e+12","2004"
"enb12413e_7","GENERAL COMMENTS:","","Russia|India|Pakistan|Venezuela|United States|Bolivia|Brazil|Paraguay|Algeria|Colombia|Oman|Belarus|Russian Federation|Togo|Ghana|Singapore|Saudi Arabia|Tanzania|Norway|Switzerland|China|New Zealand","Flexibility Mechanims","http://www.iisd.ca/vol12/enb12413e.html","079","working group","","1.2440664e+12","2009"
"enb12330e_5","DEFORESTATION:","","Brazil","","http://www.iisd.ca/vol12/enb12330e.html","061","","","1.1792664e+12","2007"
"enb1284e_3","AD HOC GROUP ON ARTICLE 13","Group of 77 and China","China","","http://www.iisd.ca/vol12/enb1284e.html","017","WORKING GROUP","PLENARY","8.97516e+11","1998"
"enb12291e_117","Technology Development and Transfer","","","","http://www.iisd.ca/vol12/enb12291e.html","054","","","1.1340828e+12","2005"
"enb12251e_7","Additional guidance to the GEF","Alliance of Small Island States","Micronesia|Barbados|Belgium|Japan|New Zealand","","http://www.iisd.ca/vol12/enb12251e.html","048","","","1.1024604e+12","2004"
"enb12219e_29","SBSTA Conclusions","","Canada","","http://www.iisd.ca/vol12/enb12219e.html","040","","","1.0557144e+12","2003"
"1222000e_7","REPORT OF THE SESSION","Group of 77|Alliance of Small Island States|European Union","Russia|India|United States|Russian Federation|Japan|Chile|Philippines|Australia|Canada|Trinidad and Tobago|Colombia|Saudi Arabia|Norway|Poland|China|New Zealand","","http://www.iisd.ca/vol12/1222000e.html","003","working group","","8.093016e+11","1995"
"enb12333e_35","IMPLEMENTATION OF PARAGRAPH 7(C) OF CONVENTION FINANCIAL PROCEDURES:","","","","http://www.iisd.ca/vol12/enb12333e.html","061","SBI","","1.1794392e+12","2007"
"enb12562e_2","Developing Country Mitigation","Group of 77|Environmental Integrity Group|African Group|European Union","Marshall Islands|Malaysia|United States|Japan|Australia|Canada|South Africa|Mali|Norway|Switzerland|China|New Zealand","","http://www.iisd.ca/vol12/enb12562e.html","102","","","1.3544892e+12","2012"
"enb12546e_81","CLOSING PLENARY:","Group of 77|Alliance of Small Island States|Central American Integration System|Umbrella Group|European Union|Environmental Integrity Group|Coalition for Rainforest Nations|African Group","Ecuador|Mexico|Algeria|China|Australia|Nauru|Gambia|Honduras|Swaziland","UNFCCC and Kyoto Protocol Implementation","http://www.iisd.ca/vol12/enb12546e.html","099","SBI","PLENARY","1.3378968e+12","2012"
"enb12543e_3","IN THE CORRIDORS","","","","http://www.iisd.ca/vol12/enb12543e.html","099","","corridors","1.337724e+12","2012"
"enb12475e_6","IN-SESSION WORKSHOP:","","China","","http://www.iisd.ca/vol12/enb12475e.html","088","working group","","1.2808728e+12","2010"
"enb12290e_5","Extreme Weather Events","","Malawi|Romania|Oman|Uruguay|Lesotho|Trinidad and Tobago|Peru|Switzerland|Thailand|El Salvador|Madagascar","","http://www.iisd.ca/vol12/enb12290e.html","054","","","1.1340828e+12","2005"
"enb12162e_15","Compliance:","","","","http://www.iisd.ca/vol12/enb12162e.html","029","","","9.750204e+11","2000"
"enb12230e_2","ROUND TABLE III - 'ASSESSMENT OF PROGRESS AT THE NATIONAL, REGIONAL AND INTERNATIONAL LEVELS","Group of 77|Alliance of Small Island States|European Union","Iran|Argentina|Germany|Mauritius|Cuba|Colombia|Turkey|Namibia|Philippines|Czech Republic|Greece|Peru|Norway|Kazakhstan|Russia|Bangladesh|United States|Yemen|Brazil|Niger|Mexico|Azerbaijan|Poland|Sweden|Tuvalu|Oman|Russian Federation|Australia|Kiribati|Maldives|Netherlands|Costa Rica|Tanzania|Nigeria|Bhutan|China","","http://www.iisd.ca/vol12/enb12230e.html","042","","","1.0711836e+12","2003"
"enb12488e_3","Rules of Procedure","","India|Mexico|Papua New Guinea|Saudi Arabia|Guinea|Bolivia","","http://www.iisd.ca/vol12/enb12488e.html","091","","","1.2910716e+12","2010"
"enb12597e_32","REPORT ON THE ACTIVITIES OF THE IPCC EXECUTIVE COMMITTEE","","","","http://www.iisd.ca/vol12/enb12597e.html","110","ipcc","plenary","1.3972536e+12","2014"
"enb12506e_6","Programme budget for the biennium 2012-2013","","Australia|Japan","","http://www.iisd.ca/vol12/enb12506e.html","095","","","1.3076568e+12","2011"
"enb12146e_7","TECHNOLOGY TRANSFER","","United States","","http://www.iisd.ca/vol12/enb12146e.html","028","","","9.686232e+11","2000"
"enb12447e_7","FURTHER COMMITMENTS BY ANNEX I PARTIES UNDER THE PROTOCOL:","Group of 77|African Group|European Union|Alliance of Small Island States","Brazil|Austria|India|Indonesia|Algeria|Venezuela|China|Australia|Mali|Saudi Arabia|Colombia|Grenada|Egypt|Bolivia|Sudan","","http://www.iisd.ca/vol12/enb12447e.html","084","WORKING GROUP","","1.257462e+12","2009"
"enb12534e_41","NAIROBI WORK PROGRAMME:","European Union|Alliance of Small Island States","Bolivia|Australia|United States","","http://www.iisd.ca/vol12/enb12534e.html","098","","","1.3233852e+12","2011"
"enb12189e_27","IMPLEMENTATION OF THE BUENOS AIRES PLAN OF ACTION: ADOPTION OF DECISIONS GIVING EFFECT TO THE BONN AGREEMENTS","","","","http://www.iisd.ca/vol12/enb12189e.html","034","cop","","1.0055196e+12","2001"
"enb12546e_26","SBSTA Conclusions","","","","http://www.iisd.ca/vol12/enb12546e.html","099","","","1.3378968e+12","2012"
"enb12499e_7","SESSION 1:","European Union","Nepal|India|United States|Senegal|Ghana|Australia|Kenya|Indonesia|Mexico|Norway|Switzerland|China|New Zealand","Mitigation","http://www.iisd.ca/vol12/enb12499e.html","092","","","1.3022136e+12","2011"
"enb12375e_31","SBSTA Conclusions","","Indigenous Peoples","","http://www.iisd.ca/vol12/enb12375e.html","070","","","1.213308e+12","2008"
"enb12395e_31","COP Decision","","","","http://www.iisd.ca/vol12/enb12395e.html","074","","","1.2290364e+12","2008"
"enb12319e_2","OPENING CEREMONY","","France","IPCC Governance","http://www.iisd.ca/vol12/enb12319e.html","058","ipcc","plenary","1.1702844e+12","2007"
"enb12443e_7","FINANCE:","Group of 77|European Union|Alliance of Small Island States","India|United States|Japan|Philippines|Barbados|China","Adaptation","http://www.iisd.ca/vol12/enb12443e.html","084","working group","","1.2572028e+12","2009"
"enb12421e_74","ARRANGEMENTS FOR INTERGOVERNMENTAL MEETINGS:","Group of 77|European Union","Russian Federation|Norway|China|Australia|Tanzania|Saudi Arabia|Sudan|Russia","UNFCCC Functioning","http://www.iisd.ca/vol12/enb12421e.html","079","","","1.2447576e+12","2009"
"enb12581e_7","Cryosphere","","Greenland|Antarctica|United Kingdom|United States","","http://www.iisd.ca/vol12/enb12581e.html","105","","","1.3801464e+12","2013"
"enb12361e_2","Finance","Group of 77|Alliance of Small Island States","Bangladesh|South Africa|United States|Japan|Philippines|Norway|Switzerland|China","","http://www.iisd.ca/vol12/enb12361e.html","068","","","1.20726e+12","2008"
"enb12594e_22","ADAPTATION FUND: Report of the Adaptation Fund Board","","Spain|Egypt|Benin|Indonesia","UNFCCC and Kyoto Protocol Implementation","http://www.iisd.ca/vol12/enb12594e.html","107","","","1.3851612e+12","2013"
"enb12243e_9","AGRICULTURE AND LULUCF","","","","http://www.iisd.ca/vol12/enb12243e.html","045","","","1.0947672e+12","2004"
"enb12560e_6","CMP - CDM","","Angola|Japan","","http://www.iisd.ca/vol12/enb12560e.html","102","","","1.35423e+12","2012"
"enb12176e_17","Matters relating to Protocol Article 3.14:","","","","http://www.iisd.ca/vol12/enb12176e.html","032","","","9.96444e+11","2001"
"enb12541e_7","Technical elements","Organisation for Economic Co.operation and Development|Alliance of Small Island States","Mexico|Dominica|Panama|Peru|Costa Rica|Dominican Republic","","http://www.iisd.ca/vol12/enb12541e.html","099","","","1.3375512e+12","2012"
"enb12546e_77","SBI Conclusions","","Japan|United Kingdom","","http://www.iisd.ca/vol12/enb12546e.html","099","","","1.3378968e+12","2012"
"enb12381e_3","ADAPTATION AND MEANS OF IMPLEMENTATION:","Alliance of Small Island States","","","http://www.iisd.ca/vol12/enb12381e.html","072","working group","","1.2192696e+12","2008"
"1227000e_3","POLICIES AND MEASURES","Organization of Petroleum Exporting Countries|European Union|Alliance of Small Island States","India|Iran|Argentina|Marshall Islands|United States|Japan|Chile|Germany|Kenya|Kuwait|Canada|Malaysia|Sri Lanka|Italy|Morocco|Iceland|Australia|Uganda|Netherlands|Saudi Arabia|Egypt|Switzerland|New Zealand","Pre-Kyoto","http://www.iisd.ca/vol12/1227000e.html","008","","","8.262396e+11","1996"
"enb12203e_16","R&SO","","Australia","","http://www.iisd.ca/vol12/enb12203e.html","038","","","1.0354968e+12","2002"
"enb12459e_142","THE COPENHAGEN ACCORD","Alliance of Small Island States","United States|China","Mitigation","http://www.iisd.ca/vol12/enb12459e.html","085","","","1.2611772e+12","2009"
"enb12464e_3","IN THE CORRIDORS","","United States","","http://www.iisd.ca/vol12/enb12464e.html","087","","corridors","1.275516e+12","2010"
"enb12363e_2","APPROVAL OF THE DRAFT REPORT OF IPCC-27","","Belgium","","http://www.iisd.ca/vol12/enb12363e.html","069","ipcc","","1.2077784e+12","2008"
"enb12219e_21","'GOOD PRACTICES' IN POLICIES AND MEASURES","Group of 77|European Union","United States|Japan|Australia|Canada|Saudi Arabia|Samoa|Tanzania|Switzerland|China","Adverse Effects & Response Measure","http://www.iisd.ca/vol12/enb12219e.html","040","SBI/SBSTA","","1.0557144e+12","2003"
"enb12123e_42","POLICY STATEMENTS","","","","http://www.iisd.ca/vol12/enb12123e.html","022","","","9.420156e+11","1999"
"enb12243e_6","DISCUSSION ON WORKING PAPER 3","European Union","Finland|Italy|Netherlands|Denmark|New Zealand","Pre-Kyoto","http://www.iisd.ca/vol12/enb12243e.html","045","","","1.0947672e+12","2004"
"enb12529e_18","IN THE CORRIDORS","Brazil, South Africa, India and China|European Union","Panama","","http://www.iisd.ca/vol12/enb12529e.html","098","","CORRIDORS","1.3230396e+12","2011"
"enb12595e_23","NAVIGATING TO LIMA","","","","http://www.iisd.ca/vol12/enb12595e.html","108","","","1.3947516e+12","2014"
"enb12209e_68","ROUND TABLE I - 'TAKING STOCK","Alliance of Small Island States|European Union","New Zealand|Japan|Ireland|Australia|Tanzania|Thailand|Kenya|Brazil|Ethiopia|Uganda|United Kingdom|Switzerland|Colombia|Finland|Denmark|Mexico|Malaysia|Iran|Venezuela|Uruguay|Saudi Arabia|Bulgaria|Poland|Nepal","Adaptation","http://www.iisd.ca/vol12/enb12209e.html","038","","","1.0363644e+12","2002"
"enb12321e_12","G GAPS IN KNOWLEDGE:","","Austria","","http://www.iisd.ca/vol12/enb12321e.html","060","ipcc","","1.1782296e+12","2007"
"enb12431e_10","IN THE CORRIDORS","","","","http://www.iisd.ca/vol12/enb12431e.html","081","working group","corridors","1.254348e+12","2009"
"enb12225e_2","REPORT OF THE CDM EB","Group of 77|European Union","Tuvalu|Argentina|United States|Japan|Ghana|Switzerland|China|Indigenous Peoples","","http://www.iisd.ca/vol12/enb12225e.html","042","","","1.0705788e+12","2003"
"enb12546e_42","CLOSING PLENARY:","Group of 77|Alliance of Small Island States|Umbrella Group|European Union|Environmental Integrity Group|Bolivarian Alliance For The Peoples Of Our America|Coalition for Rainforest Nations|African Group","Guatemala|Algeria|China|Australia|Dominica|Nauru|Gambia|Honduras|El Salvador|Costa Rica|Swaziland|Dominican Republic|Bolivia|Indigenous Peoples","REDD","http://www.iisd.ca/vol12/enb12546e.html","099","","PLENARY","1.3378968e+12","2012"
"enb12123e_6","ADMISSION OF OBSERVERS AND ORGANIZATION OF WORK","","","","http://www.iisd.ca/vol12/enb12123e.html","022","","","9.420156e+11","1999"
"enb12610e_1","ADP PLENARY","","Trinidad and Tobago","","http://www.iisd.ca/vol12/enb12610e.html","114","working group","plenary","1.4175612e+12","2014"
"enb12105e_4","Annex I Communications:","","","","http://www.iisd.ca/vol12/enb12105e.html","020","","","9.287064e+11","1999"
"1234000e_5","IN THE CORRIDORS II","","Japan","","http://www.iisd.ca/vol12/1234000e.html","009","","corridors","8.37468e+11","1996"
"enb12398e_2","ORGANIZATIONAL MATTERS:","","","","http://www.iisd.ca/vol12/enb12398e.html","076","working group","","1.238364e+12","2009"
"enb12260e_78","COP Decision","","","","http://www.iisd.ca/vol12/enb12260e.html","048","","","1.1033244e+12","2004"
"enb12242e_55","CONTINUING REVIEW OF THE FUNCTIONS AND OPERATIONS OF THE SECRETARIAT","Group of 77|European Union","India|Canada|Saudi Arabia|China","","http://www.iisd.ca/vol12/enb12242e.html","044","","","1.0883736e+12","2004"
"enb12219e_34","CLOSING PLENARY","","Uzbekistan","","http://www.iisd.ca/vol12/enb12219e.html","040","SBI/SBSTA","PLENARY","1.0557144e+12","2003"
