id,title,actors,countries,topics,url,event_id,track,format,date,year,abstract
"1201000e_1","ESTABLISHMENT OF THE INC/FCCC","","","Technology Transfer","http://www.iisd.ca/vol12/1201000e.html","001","","","7.920252e+11","1995","On 11 December 1990, the 45th session of the UN General Assembly adopted a resolution that established the Intergovernmental Negotiating Committee for a Framework Convention on Climate Change (INC/FCCC)."
"1201000e_2","ADOPTION AND ENTRY INTO FORCE","","","","http://www.iisd.ca/vol12/1201000e.html","001","","","7.920252e+11","1995","The United Nations Framework Convention on Climate Change (FCCC) was adopted on 9 May 1992, and opened for signature at the UN Conference on Environment and Development in June 1992 in Rio, where it received 155 signatures."
"1201000e_3","PREPARATION FOR THE COP","","","Financial Mechanisms and Funds","http://www.iisd.ca/vol12/1201000e.html","001","COP","","7.920252e+11","1995","Since the adoption of the Convention, the INC has met five more times to consider the following items: matters relating to commitments; matters relating to arrangements for the financial mechanism and for technical and financial support to developing countries; procedural and legal matters; and institutional matters."
"1201000e_4","INC-9","","","Financial Mechanisms and Funds|UNFCCC and Kyoto Protocol Functioning","http://www.iisd.ca/vol12/1201000e.html","001","","","7.920252e+11","1995","The INC held its ninth session from 7-18 February 1994, in Geneva."
"1201000e_5","INC-10","Alliance of Small Island States","Trinidad and Tobago","REDD|Financial Mechanisms and Funds|UNFCCC and Kyoto Protocol Functioning","http://www.iisd.ca/vol12/1201000e.html","001","","","7.920252e+11","1995","The tenth session of the INC was held from 22 August - 2 September 1994, in Geneva."
"1201000e_6","49TH GENERAL ASSEMBLY","Group of 77 and China|Alliance of Small Island States","Algeria|India|Austria|China|Antigua and Barbuda|Argentina|New Zealand","","http://www.iisd.ca/vol12/1201000e.html","001","COP","","7.920252e+11","1995","The 49th session of the UN General Assembly considered the Framework Convention on Climate Change from 19-21 October 1994."
"1201000e_7","EXTENDED BUREAU MEETING","","","Financial Mechanisms and Funds|UNFCCC and Kyoto Protocol Functioning|National Communications and Inventories","http://www.iisd.ca/vol12/1201000e.html","001","COP","","7.920252e+11","1995","Members of the extended Bureau met the week before INC-11 to consult with interested delegates from a number of countries on how to proceed with the 11th session and prepare for the first meeting of the COP."
"1202000e_1","PLENARY","Group of 77 and China|Alliance of Small Island States","Turkey|Saudi Arabia|Solomon Islands|Kuwait|Philippines|Trinidad and Tobago|Germany|Colombia|Mali|Russian Federation|Kiribati|Tanzania|Thailand","Financial Mechanisms and Funds 1|Financial Mechanisms and Funds|UNFCCC and Kyoto Protocol Functioning|Anthropogenic Interference with Climate System","http://www.iisd.ca/vol12/1202000e.html","001","COP","plenary","7.921116e+11","1995","INC Chair Raul Estrada-Oyuela opened INC-11 by noting a sense of satisfaction that 118 States and the EEC have ratified the Convention."
"1202000e_2","WORKING GROUP I","European Union","Saudi Arabia|Netherlands|Kuwait|France|United States|China|Japan|New Zealand|Benin","Financial Mechanisms and Funds|Anthropogenic Interference with Climate System","http://www.iisd.ca/vol12/1202000e.html","001","COP","groups","7.921116e+11","1995","Working Group I first addressed Agenda Item 7, Questions for the IPCC Chair."
"1202000e_3","AGENDA ITEM 7(D) - METHODOLOGICAL ISSUES","European Union","United States|Romania|Australia|China|Japan|Poland|France","UNFCCC and Kyoto Protocol Functioning|Vulnerabilities and Impacts|National Communications and Inventories","http://www.iisd.ca/vol12/1202000e.html","001","","","7.921116e+11","1995","The Secretariat invited discussion of document A/AC/237/84, on methodological issues."
