event_id,long_title,city,country,year,min_volnumber,max_volnumber
001,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC),New York,USA,1995,1,11
002,First Conference of the Parties to the Framework Convention on Climate Change,Berlin,Germany,1995,12,21
003,First Session of the Ad Hoc Group on the Berlin Mandate,Geneva,Switzerland,1995,22,22
004,First Session Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),Geneva,Switzerland,1995,23,23
005,Second Session of the Ad Hoc Group on the Berlin Mandate,Geneva,Switzerland,1995,24,24
006,Year-End Update on the Framework Convention on Climate Change 1995,New York,USA,1995,25,25
007,Second Session Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),Geneva,Switzerland,1996,26,26
008,Third Session of the Ad Hoc Group on the Berlin Mandate,Geneva,Switzerland,1996,27,27
009,Second Conference of the Parties to the Framework Convention on Climate Change,Geneva,Switzerland,1996,28,38
010,Fifth Session of the Ad Hoc Group on the Berlin Mandate Fourth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),Geneva,Switzerland,1996,39,39
011,Fifth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),Bonn,Germany,1997,40,40
012,Sixth Session of the Ad Hoc Group on the Berlin Mandate,Bonn,Germany,1997,41,45
013,Sixth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),Bonn,Germany,1997,46,49
014,Seventh Session of the Ad Hoc Group on the Berlin Mandate,Bonn,Germany,1997,50,55
015,Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate,Bonn,Germany,1997,56,66
016,Third Conference of the Parties to the Framework Convention on Climate Change,Kyoto,Japan,1997,67,76
017,Eighth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),Bonn,Germany,1998,77,86
018,Fourth Conference of the Parties to the Framework Convention on Climate Change,Buenos Aires,Argentina,1998,87,97
019,Technical Workshop on Mechanisms under the Kyoto Protocol,Bonn / Bad Godesberg,Germany,1999,98,98
020,Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),Bonn,Germany,1999,99,110
021,Informal Exchange of Views and Information on Compliance Under the Kyoto Protocol,Vienna,Austria,1999,111,111
022,Fifth Conference of the Parties to the UN Framework Convention on Climate Change,Bonn,Germany,1999,112,123
023,UNFCCC WORKSHOP ON COMPLIANCE UNDER THE KYOTO PROTOCOL,Bonn,Germany,2000,124,124
024,UNFCCC WORKSHOPS ON CONVENTION ARTICLE 4.8 AND 4.9 (ADVERSE EFFECTS),Bonn,Germany,2000,125,125
025,UNFCCC WORKSHOP ON BEST PRACTICES IN POLICIES AND MEASURES,Copenhagen,Denmark,2000,126,126
026,TWELFTH SESSION OF THE SUBSIDIARY BODIES OF THE UNFCCC,Bonn,Germany,2000,127,137
027,"Workshop on Land-Use, Land-Use Change and Forestry",Poznañ,Poland,2000,138,141
028,Thirteenth Session of the Subsidiary Bodies of the UNFCCC,Lyon,France,2000,142,151
029,Sixth Conference of the Parties to the UN Framework Convention on Climate Change,The Hague,The Netherlands,2000,152,163
030,INTER-REGIONAL WORKSHOP OF THE CONSULTATIVE GROUP OF EXPERTS ON INITIAL NATIONAL COMMUNICATIONS FROM PARTIES NOT INCLUDED IN ANNEX I TO THE CONVENTION,Panama City,Panama,2001,164,164
031,Seventeenth session of the Intergovernmental Panel on Climate Change (IPCC),Nairobi,Kenya,2001,165,165
032,SIXTH CONFERENCE OF THE PARTIES TO THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE RESUMED SESSION,Bonn,Germany,2001,166,176
033,IPCC-18,London,UK,2001,177,177
034,Seventh Conference of the Parties to the UN Framework Convention on Climate Change,Marrakech,Morocco,2001,178,189
035,The Consultative Group of Experts (CGE) on National Communications from Non-Annex I Parties,Bonn,Germany,2002,190,190
036,Expert meeting on methodologies for technology needs assessments,Seoul,Republic of Korea,2002,191,191
037,Sixteenth Sessions of the Subsidiary Bodies,Bonn,Germany,2002,192,200
038,Eighth Conference of the Parties to the UN Framework Convention on Climate Change,New Delhi,India,2002,201,209
039,UNFCCC Workshop on enabling environments for technology transfer,Ghent,Belgium,2003,210,210
040,18th Session of the Subsidiary Bodies,Bonn,Germany,2003,211,219
041,Workshop on synergies and cooperation with other conventions,Espoo,Finland,2003,220,220
042,Ninth Conference of the Parties to the UN Framework Convention on Climate Change,Milan,Italy,2003,221,231
043,United Nations Framework Convention on Climate Change (UNFCCC) workshop on the preparation of national communications from non-Annex I Parties,Manila,the Philippines,2004,232,232
044,Twentieth Session of the Subsidiary Bodies to the UN Framework Convention on Climate Change,Bonn,Germany,2004,233,242
045,United Nations Framework Convention on Climate Change (UNFCCC) workshop on emissions projections from Parties included in Annex I of the UNFCCC,Bonn,Germany,2004,243,243
